Wall time,Step,Value
1510777187.3664696,42,105.09537506103516
1510777190.3375516,94,103.6726303100586
1510777194.4980495,167,102.6002197265625
1510777198.05549,229,103.34211730957031
1510777198.3379724,234,102.64000701904297
1510777200.5643845,273,105.82555389404297
1510777202.6354654,310,105.80276489257812
1510777203.083504,318,107.03179168701172
1510777211.9947615,474,106.5511703491211
1510777215.5523233,536,104.40699768066406
1510777217.9811091,579,106.44947814941406
1510777218.400379,586,104.09162139892578
1510777221.099709,634,104.39569091796875
1510777221.847963,647,104.12226867675781
1510777225.623226,714,102.45701599121094
1510777230.8986084,808,103.3879623413086
1510777242.4775348,1014,103.26200103759766
1510777245.3972123,1066,103.1346664428711
1510777260.5676894,1333,106.83119201660156
1510777260.787999,1337,102.2344741821289
1510777263.4836433,1385,103.58374786376953
1510777263.8678896,1392,105.5009994506836
1510777266.359734,1436,113.6796646118164
1510777280.8248434,1691,103.40243530273438
1510777283.3043156,1734,103.33062744140625
1510777283.4677434,1737,107.8459701538086
1510777291.5545006,1877,105.5854721069336
1510777293.8458312,1917,104.20275115966797
1510777300.581828,2036,103.82099914550781
1510777304.0024111,2096,103.34855651855469
1510777309.9884577,2199,104.6716079711914
1510777313.6688538,2262,104.19187927246094
1510777316.2970917,2307,104.89253997802734
1510777321.1549618,2389,107.37252044677734
1510777323.816902,2436,105.77336120605469
1510777326.6278558,2485,105.58641052246094
1510777326.6777031,2486,104.01640319824219
1510777327.3697386,2498,102.77172088623047
1510777329.4221747,2532,110.9651107788086
1510777338.3070984,2685,104.29042053222656
1510777341.4678814,2740,112.95294189453125
1510777358.3823185,3038,105.93179321289062
1510777370.92721,3230,106.1058120727539
1510777371.9630513,3246,103.00398254394531
1510777376.0391214,3305,101.44905090332031
1510777400.4969819,3618,103.89873504638672
1510777400.6477149,3620,103.99800109863281
1510777404.8623772,3670,104.33329772949219
1510777410.8211389,3741,104.76222229003906
1510777417.9419441,3814,106.36476135253906
1510777418.4587717,3821,111.19502258300781
1510777427.107514,3928,103.81151580810547
1510777429.233662,3956,103.28250885009766
1510777435.7645018,4036,107.65779113769531
1510777451.3752604,4196,105.65410614013672
1510777463.2812977,4317,103.54996490478516
1510777470.1551812,4400,103.77220153808594
1510777478.9902487,4492,105.86782836914062
1510777480.2910283,4509,104.31639862060547
1510777494.3251996,4676,106.53260803222656
1510777503.589011,4788,104.91841125488281
1510777518.5867856,4971,104.3964614868164
1510777530.034487,5106,103.35574340820312
1510777532.7974143,5134,110.24285888671875
1510777552.2242823,5345,105.3603286743164
1510777553.6300995,5359,102.345458984375
1510777570.6911745,5549,105.33642578125
1510777581.551314,5679,106.36579132080078
1510777585.1291964,5723,108.29934692382812
1510777592.3696609,5808,105.35321044921875
1510777597.6643553,5864,101.82220458984375
1510777598.1836858,5871,108.20050811767578
1510777601.0306451,5907,111.71907806396484
1510777607.987245,5990,106.40383911132812
1510777627.3330557,6200,103.54852294921875
1510777628.6990013,6219,103.00463104248047
1510777635.8430858,6289,106.42980194091797
1510777659.9490652,6574,106.08038330078125
1510777662.3616617,6603,103.60039520263672
1510777671.1033704,6699,106.03129577636719
1510777672.2700968,6711,103.09855651855469
1510777685.8996797,6854,108.17835235595703
1510777695.701865,6966,108.83165740966797
1510777713.1042976,7155,103.19043731689453
1510777734.1559193,7382,110.8552017211914
1510777740.673399,7460,108.87738800048828
1510777740.901432,7463,104.14672088623047
1510777745.4925506,7511,102.31884002685547
1510777768.2809482,7788,102.88676452636719
1510777769.9075205,7798,105.73660278320312
1510777773.4394352,7833,103.9072036743164
1510777785.756462,7991,111.23082733154297
1510777791.3002427,8066,104.0911865234375
1510777800.941835,8180,102.49559783935547
1510777805.4318483,8221,107.13348388671875
1510777819.1596682,8363,108.99402618408203
1510777820.3493972,8377,102.91441345214844
1510777830.6473036,8498,104.68037414550781
1510777831.493909,8508,104.65440368652344
1510777840.1888828,8601,104.30530548095703
1510777865.9729316,8878,106.06373596191406
1510777870.4710639,8928,103.39702606201172
