Lr,Epoch,GridDim,maxRay,minRay
0.1,50,"(20, 20)",20,0.5
Ilosc aktywnych,26
Ilosc zaszumionych,Ilosc idealnie,Ilosc w najwiekszym sasiedztwie,Ilosc blednych
0,26,0,0
1,16,10,0
2,10,16,0
3,8,17,1
4,10,12,4
5,6,15,5
6,5,13,8
Lr,Epoch,GridDim,maxRay,minRay
0.5,50,"(20, 20)",20,0.5
Ilosc aktywnych,26
Ilosc zaszumionych,Ilosc idealnie,Ilosc w najwiekszym sasiedztwie,Ilosc blednych
0,26,0,0
1,16,7,3
2,6,10,10
3,5,8,13
4,3,9,14
5,1,9,16
6,3,8,15
Lr,Epoch,GridDim,maxRay,minRay
0.01,50,"(20, 20)",20,0.5
Ilosc aktywnych,24
Ilosc zaszumionych,Ilosc idealnie,Ilosc w najwiekszym sasiedztwie,Ilosc blednych
0,26,0,0
1,26,0,0
2,24,1,1
3,25,1,0
4,20,4,2
5,19,1,6
6,14,6,6
